freq_confoc,freq_non_confoc,volt_laser
-842026801.6922908,-834670235.8253522,0.0137959851
-823203361.2222762,-815810925.1933131,3.71911e-05
-823203361.2222762,-815810925.1933131,0.0039417138
-823203361.2222762,-815810925.1933131,-0.0023798943
-806555559.375423,-799132114.3653312,0.0004090504
-804333097.8815036,-796905563.7556481,0.0007809098
-806555559.375423,-799132114.3653312,0.0004090504
-804333097.8815036,-796905563.7556481,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-806555559.375423,-799132114.3653312,0.0035698544
-804333097.8815036,-796905563.7556481,0.0035698544
-823203361.2222762,-815810925.1933131,0.0063587991
-823203361.2222762,-815810925.1933131,0.0067306584
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0007809098
-823203361.2222762,-815810925.1933131,-0.0023798943
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0007809098
-823203361.2222762,-815810925.1933131,0.0004090504
-806555559.375423,-799132114.3653312,0.0063587991
-787643981.6652398,-780186119.7920508,0.0067306584
-804333097.8815036,-796905563.7556481,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-806555559.375423,-799132114.3653312,0.0007809098
-804333097.8815036,-796905563.7556481,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0007809098
-823203361.2222762,-815810925.1933131,-0.0023798943
-823203361.2222762,-815810925.1933131,-0.0023798943
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0007809098
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-806555559.375423,-799132114.3653312,0.0035698544
-804333097.8815036,-796905563.7556481,0.0007809098
-806555559.375423,-799132114.3653312,0.0004090504
-804333097.8815036,-796905563.7556481,0.0007809098
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0007809098
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0007809098
-806555559.375423,-799132114.3653312,0.0004090504
-804333097.8815036,-796905563.7556481,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-806555559.375423,-799132114.3653312,0.0007809098
-787643981.6652398,-780186119.7920508,-0.0023798943
-804333097.8815036,-796905563.7556481,-0.0023798943
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-806555559.375423,-799132114.3653312,0.0035698544
-787643981.6652398,-780186119.7920508,0.0035698544
-804333097.8815036,-796905563.7556481,0.0035698544
-823203361.2222762,-815810925.1933131,0.0007809098
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-806555559.375423,-799132114.3653312,0.0035698544
-804333097.8815036,-796905563.7556481,0.0035698544
-806555559.375423,-799132114.3653312,0.0063587991
-804333097.8815036,-796905563.7556481,0.0095196031
-823203361.2222762,-815810925.1933131,0.0067306584
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0007809098
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0007809098
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-806555559.375423,-799132114.3653312,0.0035698544
-787643981.6652398,-780186119.7920508,0.0035698544
-787643981.6652398,-780186119.7920508,0.0035698544
-804333097.8815036,-796905563.7556481,0.0035698544
-806555559.375423,-799132114.3653312,0.0007809098
-804333097.8815036,-796905563.7556481,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-806555559.375423,-799132114.3653312,0.0035698544
-804333097.8815036,-796905563.7556481,0.0035698544
-806555559.375423,-799132114.3653312,0.0035698544
-804333097.8815036,-796905563.7556481,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0007809098
-823203361.2222762,-815810925.1933131,-0.0023798943
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-806555559.375423,-799132114.3653312,0.0035698544
-787643981.6652398,-780186119.7920508,0.0007809098
-787643981.6652398,-780186119.7920508,-0.0023798943
-787643981.6652398,-780186119.7920508,0.0004090504
-804333097.8815036,-796905563.7556481,0.0035698544
-806555559.375423,-799132114.3653312,0.0035698544
-804333097.8815036,-796905563.7556481,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0007809098
-823203361.2222762,-815810925.1933131,0.0004090504
-823203361.2222762,-815810925.1933131,0.0035698544
-823203361.2222762,-815810925.1933131,0.0035698544
-806555559.375423,-799132114.3653312,0.0035698544
-804333097.8815036,-796905563.7556481,0.0035698544
-823203361.2222762,-815810925.1933131,0.0063587991
-806555559.375423,-799132114.3653312,0.0067306584
-804333097.8815036,-796905563.7556481,0.0007809098
-806555559.375423,-799132114.3653312,0.0004090504
-787643981.6652398,-780186119.7920508,0.0035698544
-804333097.8815036,-796905563.7556481,0.0007809098
-806555559.375423,-799132114.3653312,0.0004090504
-787643981.6652398,-780186119.7920508,0.0035698544
-787643981.6652398,-780186119.7920508,0.0035698544
