title,D,d_D,mod_f,mod_ampl
error00001,-164.21334751145994,5.108444171259375,50,510
error00002,-117.18433394387596,3.8138841079080117,40,310
error00003,80.59822428845314,2.384248745228069,30,250
error00004,-103.21679716903924,5.747398507088053,20,150
error00006,-127.72105683073069,5.844964774948522,10,30
error00007,-173.3901887301429,14.097849472960016,5,8
error00011,-88.38993839622205,4.252979061950001,40,360
error00012,-96.53855896214112,3.640534934379759,40,300
error00013,-334.23068036152773,23.007022465081622,40,250
error00014,-79.6749056415122,3.073200871596835,40,200
error00015,-162.05871229828298,11.253767700887408,40,140
error00016,-183.33843790341348,20.487041559085444,40,110
error00017,-124.87777868135859,6.087191304271317,40,400
error00018,-80.66292823557595,4.41328659697387,40,450
